country,countryLabel,capital,capitalLabel,coordinates,lon,lat
http://www.wikidata.org/entity/Q252,Indonesia,http://www.wikidata.org/entity/Q3630,Jakarta,Point(106.84513 -6.21462),106.8451,-6.2146
http://www.wikidata.org/entity/Q252,Indonesia,http://www.wikidata.org/entity/Q3630,Jakarta,Point(106.84513 -6.21462),106.84513,-6.21462
http://www.wikidata.org/entity/Q252,Indonesia,http://www.wikidata.org/entity/Q3630,Jakarta,Point(106.84513 -6.21462),106.84513,-6.2146
http://www.wikidata.org/entity/Q423,Ipar Korea,http://www.wikidata.org/entity/Q18808,Piongiang,Point(125.73 39.03),125.73,39.03
http://www.wikidata.org/entity/Q221,Ipar Mazedonia,http://www.wikidata.org/entity/Q384,Skopje,Point(21.433333333 41.983333333),21.433333333333,41.983333333333
http://www.wikidata.org/entity/Q796,Irak,http://www.wikidata.org/entity/Q1530,Bagdad,Point(44.416666666 33.35),44.416666666667,33.35
http://www.wikidata.org/entity/Q794,Iran,http://www.wikidata.org/entity/Q3616,Teheran,Point(51.416666666 35.7),51.416666666667,35.7
http://www.wikidata.org/entity/Q27,Irlandako Errepublika,http://www.wikidata.org/entity/Q1761,Dublin,Point(-6.265833333 53.3425),-6.2658333333333,53.3425
http://www.wikidata.org/entity/Q189,Islandia,http://www.wikidata.org/entity/Q1764,Reykjavik,Point(-21.883333333 64.15),-21.883333333333,64.15
http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q1218,Jerusalem,Point(35.216666666 31.783333333),35.216666666667,31.783333333333
http://www.wikidata.org/entity/Q38,Italia,http://www.wikidata.org/entity/Q220,Erroma,Point(12.482777777 41.893055555),12.482777777778,41.893055555556
http://www.wikidata.org/entity/Q766,Jamaika,http://www.wikidata.org/entity/Q34692,Kingston,Point(-76.793055555 17.971388888),-76.793055555556,17.971388888889
http://www.wikidata.org/entity/Q17,Japonia,http://www.wikidata.org/entity/Q1490,Tokio,Point(139.692222222 35.689722222),139.69222222222,35.689722222222
http://www.wikidata.org/entity/Q810,Jordania,http://www.wikidata.org/entity/Q3805,Amman,Point(35.933333333 31.95),35.933333333333,31.95
http://www.wikidata.org/entity/Q1009,Kamerun,http://www.wikidata.org/entity/Q3808,Jaunde,Point(11.518055555 3.857777777),11.518055555556,3.8577777777778
http://www.wikidata.org/entity/Q16,Kanada,http://www.wikidata.org/entity/Q1930,Ottawa,Point(-75.695 45.424722222),-75.695,45.424722222222
http://www.wikidata.org/entity/Q424,Kanbodia,http://www.wikidata.org/entity/Q1850,Phnom Penh,Point(104.921027777 11.569583333),104.92102777778,11.569583333333
http://www.wikidata.org/entity/Q232,Kazakhstan,http://www.wikidata.org/entity/Q1520,Nur-Sultan,Point(71.433333333 51.133333333),71.433333333333,51.133333333333
http://www.wikidata.org/entity/Q114,Kenya,http://www.wikidata.org/entity/Q3870,Nairobi,Point(36.817222222 -1.286388888),36.817222222222,-1.2863888888889
http://www.wikidata.org/entity/Q813,Kirgizistan,http://www.wikidata.org/entity/Q9361,Bixkek,Point(74.566666666 42.866666666),74.566666666667,42.866666666667
http://www.wikidata.org/entity/Q710,Kiribati,http://www.wikidata.org/entity/Q131233,Hego Tarawa,Point(172.966666666 1.4),172.96666666667,1.4
http://www.wikidata.org/entity/Q739,Kolonbia,http://www.wikidata.org/entity/Q2841,Bogota,Point(-74.080833333 4.598888888),-74.080833333333,4.5988888888889
http://www.wikidata.org/entity/Q970,Komoreak,http://www.wikidata.org/entity/Q3901,Moroni,Point(43.253611111 -11.703611111),43.253611111111,-11.703611111111
http://www.wikidata.org/entity/Q971,Kongoko Errepublika,http://www.wikidata.org/entity/Q3844,Brazzaville,Point(15.283333333 -4.266666666),15.283333333333,-4.2666666666667
http://www.wikidata.org/entity/Q974,Kongoko Errepublika Demokratikoa,http://www.wikidata.org/entity/Q3838,Kinshasa,Point(15.313888888 -4.331666666),15.313888888889,-4.3316666666667
http://www.wikidata.org/entity/Q224,Kroazia,http://www.wikidata.org/entity/Q1435,Zagreb,Point(15.95 45.8),15.95,45.8
http://www.wikidata.org/entity/Q241,Kuba,http://www.wikidata.org/entity/Q1563,Habana,Point(-82.358888888 23.136666666),-82.358888888889,23.136666666667
http://www.wikidata.org/entity/Q817,Kuwait,http://www.wikidata.org/entity/Q35178,Kuwait,Point(47.98 29.375),47.98,29.375
http://www.wikidata.org/entity/Q819,Laos,http://www.wikidata.org/entity/Q9326,Vientian,Point(102.6 17.966666666),102.6,17.966666666667
http://www.wikidata.org/entity/Q1013,Lesotho,http://www.wikidata.org/entity/Q3909,Maseru,Point(27.48 -29.31),27.48,-29.31
http://www.wikidata.org/entity/Q211,Letonia,http://www.wikidata.org/entity/Q1773,Riga,Point(24.106944444 56.9475),24.106944444444,56.9475
http://www.wikidata.org/entity/Q822,Libano,http://www.wikidata.org/entity/Q3820,Beirut,Point(35.513055555 33.886944444),35.513055555556,33.886944444444
http://www.wikidata.org/entity/Q1014,Liberia,http://www.wikidata.org/entity/Q3748,Monrovia,Point(-10.804722222 6.310555555),-10.804722222222,6.3105555555556
http://www.wikidata.org/entity/Q1016,Libia,http://www.wikidata.org/entity/Q3579,Tripoli,Point(13.18746 32.87519),13.18746,32.87519
http://www.wikidata.org/entity/Q347,Liechtenstein,http://www.wikidata.org/entity/Q1844,Vaduz,Point(9.521944444 47.139722222),9.5219444444444,47.139722222222
http://www.wikidata.org/entity/Q37,Lituania,http://www.wikidata.org/entity/Q216,Vilnius,Point(25.283333333 54.683333333),25.283333333333,54.683333333333
http://www.wikidata.org/entity/Q32,Luxenburgo,http://www.wikidata.org/entity/Q1842,Luxenburgo,Point(6.132777777 49.610555555),6.1327777777778,49.610555555556
http://www.wikidata.org/entity/Q1019,Madagaskar,http://www.wikidata.org/entity/Q3915,Antananarivo,Point(47.521388888 -18.938611111),47.521388888889,-18.938611111111
http://www.wikidata.org/entity/Q1020,Malawi,http://www.wikidata.org/entity/Q3876,Lilongwe,Point(33.783333333 -13.983333333),33.783333333333,-13.983333333333
http://www.wikidata.org/entity/Q833,Malaysia,http://www.wikidata.org/entity/Q1865,Kuala Lumpur,Point(101.695277777 3.147777777),101.69527777778,3.1477777777778
